Name,type
mu_a,stochastic
sd_a,stochastic
cv_SR,stochastic
MW,stochastic
MR,stochastic
early_MpsW,stochastic
Reff_mu,stochastic
Reff_eta,stochastic
CV_MpsW,stochastic
sd_tr,stochastic
phi_tr,stochastic
mean_trW,stochastic
logitHtW2,stochastic
HRR,stochastic
HRL,stochastic
HRD,stochastic
logit_qlW,stochastic
mean_qlW,stochastic
sd_ql,stochastic
phi_ql,stochastic
mean_qdW,stochastic
eff_qd,stochastic
sd_qd,stochastic
phi_qd,stochastic
tauqd,stochastic
tauql,stochastic
tauqr,stochastic
tauqcgn,stochastic
tauqctn,stochastic
rrW,stochastic
rrRsp,stochastic
rcW,stochastic
rcR,stochastic
rdW,stochastic
rdR,stochastic
rlW,stochastic
rlR,stochastic
Tretain,stochastic
reportc,stochastic
reportrR,stochastic
reportrW,stochastic
reportd,stochastic
reportl,stochastic
SCR,stochastic
SCC,stochastic
SCO,stochastic
SCT,stochastic
eLW,stochastic
eLR,stochastic
mucL,stochastic
taucL,stochastic
corr_msw,stochastic
CV_ladder,stochastic
cvDS,stochastic
coefDS_tmp,stochastic
muTrap,stochastic
etaTrap,stochastic
Usmolt,stochastic
p.mort,stochastic
Temp,stochastic
logit_mu_spawn,stochastic
logit_CV_spawn,stochastic
RMps,stochastic
qlW1,stochastic
qlR1,stochastic
qdW1,stochastic
qdR1,stochastic
qrW,stochastic
qrR,stochastic
a_slope,stochastic
nct_ObsTot,stochastic
nco_ObsTot,stochastic
tau_SR,scenarios
